Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
531147,Alicon Castalloy Ltd,UC Rai Holding Private Limited,Promoter Group,Equity,334998,2.05,Equity,1650,1077573.00,Acquisition,-,336648,2.06,09 Jun 2026,10 Jun 2026,11 Jun 2026,Market Purchase,,,,,,,NSE,11 Jun 2026
507685,Wipro Ltd,Deepak Parija,Designated Person,Any other instrument,220320,0.00,Any other instrument,220320,46353125.00,Disposal,-,0,0.00,09 Jun 2026,09 Jun 2026,11 Jun 2026,Market Sale,,,,,,,NA,11 Jun 2026
531439,Aion-Tech Solutions Ltd,Trinity Infraventures Limited,Promoter,Equity Shares,18945812,36.25,Equity Shares,200000,8710500.00,Disposal,Equity,18745812,35.86,10 Jun 2026,10 Jun 2026,11 Jun 2026,Market Sale,,,,,,,NSE,11 Jun 2026
523011,Weizmann Ltd,MIRA ANKIT KHAMBHATI - MINOR THROUGH NATURAL GUARDIAN - FATHER MR. ANKIT VIJAY KHAMBHATI,Employees Immediate Relative,Equity Shares,0,0.00,Equity Shares,985308,82756019.00,Acquisition,Equity,985308,6.36,09 Jun 2026,09 Jun 2026,11 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
523011,Weizmann Ltd,KANAN NEELKAMAL SIRAJ,Directors Immediate Relative,Equity Shares,985308,6.36,Equity Shares,985308,82756019.00,Disposal,Equity,0,0.00,09 Jun 2026,09 Jun 2026,11 Jun 2026,Gift,,,,,,,NA,11 Jun 2026
540788,Aspira Pathlab & Diagnostics Ltd,Raj Arvind Bhanushali,Promoter Group,Equity Shares,77964,0.76,Equity Shares,639674,35182070.00,Acquisition,Equity,717638,6.97,08 Jun 2026,08 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
540788,Aspira Pathlab & Diagnostics Ltd,Jay Arvind Bhanushali,Promoter,Equity Shares,232727,2.26,Equity Shares,511738,28145590.00,Acquisition,Equity,744465,7.23,08 Jun 2026,08 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
540788,Aspira Pathlab & Diagnostics Ltd,Nikunj Mange,Promoter & Director,Equity Shares,220158,2.14,Equity Shares,511738,28145590.00,Acquisition,Equity,731896,7.11,08 Jun 2026,08 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
540788,Aspira Pathlab & Diagnostics Ltd,Arvind Karsandas Bhanushali,Promoter,Equity Shares,885500,8.60,Equity Shares,533914,29365270.00,Acquisition,Equity,1419414,13.79,08 Jun 2026,08 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
540788,Aspira Pathlab & Diagnostics Ltd,Deepali Arvind Bhanushali,Promoter,Equity Shares,885500,8.60,Equity Shares,85443,4699365.00,Acquisition,Equity,970943,9.43,08 Jun 2026,08 Jun 2026,10 Jun 2026,Market Purchase,,,,,,,BSE,11 Jun 2026
