Security Code,Security Name,Name of Person,Category of person,Type of Securities held Prior to acquisition/Disposed),Number of Securities held Prior to acquisition/Disposed,%   of  Securities held Prior to acquisition/Disposed,Type of Securities Acquired/Disposed/Pledge etc.,Number of Securities Acquired/Disposed/Pledge etc.,Value  of Securities Acquired/Disposed/Pledge etc,Transaction Type ( Buy/Sale/Pledge/Revoke/Invoke),Type of Securities held Post  acquisition/Disposed/Pledge  etc,Number of Securities held Post  acquisition/Disposed/Pledge etc,Post-Transaction % of Shareholding,Date of acquisition of shares/sale of shares/Date of Allotment(From date),Date of acquisition of shares/sale of shares/Date of Allotment( To date  ),Date of Intimation to Company,Mode of Acquisition,Trading in Derivative - Type of Contract,Derivative Contract  Specification,Derivatives - Buy Value (Notional),Derivatives - Buy-Number of Units(Contracts*lot size),Derivatives - Sales Value (Notional),Derivatives - Sales-Number of Units(Contracts * lot size),Exchange on which the Trade was executed,Reported to Exchange
507685,Wipro Ltd,Sarat Chand,Designated Person,Any other instrument,93220,0.00,Any other instrument,131310,27123499.00,Acquisition,-,224530,0.00,09 Jun 2026,09 Jun 2026,09 Jun 2026,ESOP,,,,,,,NA,11 Jun 2026
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,4546720,0.19,Equity Shares,1,1263.00,Disposal,Equity,4546719,0.19,09 Jun 2026,09 Jun 2026,10 Jun 2026,Market Sale,,,,,,,NSE,11 Jun 2026
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,4546719,0.19,Equity Shares,5398,5398.00,Disposal,Equity,4541321,0.19,09 Jun 2026,09 Jun 2026,10 Jun 2026,Off Market,,,,,,,NA,11 Jun 2026
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,4541321,0.19,Equity Shares,7387,7387.00,Disposal,Equity,4533934,0.19,09 Jun 2026,09 Jun 2026,10 Jun 2026,Off Market,,,,,,,NA,11 Jun 2026
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  OPJ ESOP Plan 2021 A/c,Other,Equity Shares,4533934,0.19,Equity Shares,84,107178.00,Disposal,Equity,4533850,0.19,10 Jun 2026,10 Jun 2026,11 Jun 2026,Market Sale,,,,,,,NSE,11 Jun 2026
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,4533850,0.19,Equity Shares,25,31893.00,Disposal,Equity,4533825,0.19,10 Jun 2026,10 Jun 2026,11 Jun 2026,Market Sale,,,,,,,NSE,11 Jun 2026
500228,JSW Steel Ltd,JSW Steel Employees Welfare Trust –  JSWSL OPJ Samruddhi  Plan 2021 A/c,Other,Equity Shares,4533825,0.19,Equity Shares,1,1284.00,Disposal,Equity,4533824,0.19,11 Jun 2026,11 Jun 2026,11 Jun 2026,Market Sale,,,,,,,NSE,11 Jun 2026
531531,Hatsun Agro Product Ltd,Vidhya Thanarajan,Directors Immediate Relative,Equity Shares,740904,0.33,Equity Shares,200000,0.00,Acquisition,Equity,940904,0.42,09 Jun 2026,09 Jun 2026,10 Jun 2026,Off Market,,,,,,,NA,11 Jun 2026
531531,Hatsun Agro Product Ltd,Rajesh Sundar K S T,Directors Immediate Relative,Equity Shares,494971,0.22,Equity Shares,200000,0.00,Acquisition,Equity,694971,0.31,09 Jun 2026,09 Jun 2026,10 Jun 2026,Off Market,,,,,,,NA,11 Jun 2026
531531,Hatsun Agro Product Ltd,Madhumathi KST,Directors Immediate Relative,Equity Shares,810463,0.36,Equity Shares,200000,0.00,Disposal,Equity,610463,0.27,09 Jun 2026,09 Jun 2026,10 Jun 2026,Off Market,,,,,,,NA,11 Jun 2026
